City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
320,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.82,84,23,11.95,few clouds
321,Jalu,LY,29.0331,21.5482,62.94,32,0,12.03,clear sky
322,Tayoltita,MX,24.0833,-105.9333,59.41,61,1,5.23,clear sky
323,Hvide Sande,DK,56.0045,8.1294,42.93,69,6,30.53,clear sky
324,Alofi,NU,-19.0595,-169.9187,80.49,69,40,9.22,scattered clouds
325,Benghazi,LY,32.1167,20.0667,69.13,68,18,9.82,few clouds
326,Esna,EG,25.2934,32.554,61.54,50,23,8.21,few clouds
327,Linjiang,CN,41.8069,126.9078,45.3,60,37,1.3,scattered clouds
328,Mayo,US,38.8876,-76.5119,39.15,62,0,12.66,clear sky
329,Itoman,JP,26.1247,127.6694,82.78,83,20,8.05,few clouds
330,Hattingen,DE,51.4,7.1667,47.91,86,89,4.83,overcast clouds
331,Kahului,US,20.8947,-156.47,82.42,76,40,8.05,scattered clouds
332,Saint-Pierre,RE,-21.3393,55.4781,74.91,53,0,4.61,clear sky
333,Vanimo,PG,-2.6741,141.3028,84.81,67,100,4.05,overcast clouds
334,Jerome,US,42.7241,-114.5186,26.08,69,0,18.41,clear sky
335,Jambi,ID,-1.6,103.6167,87.67,61,100,3.13,overcast clouds
336,Camacupa,AO,-12.0167,17.4833,59.72,97,12,2.08,few clouds
337,Bari,IT,41.1177,16.8512,58.87,79,0,6.91,clear sky
338,Murashi,RU,59.3999,48.9615,12.9,84,6,5.46,clear sky
339,Vila Velha,BR,-20.3297,-40.2925,71.94,80,20,11.99,few clouds
340,Dongsheng,CN,39.8161,109.9776,37.8,87,100,15.79,overcast clouds
341,Rio Cuarto,AR,-33.1307,-64.3499,78.48,35,0,14.97,clear sky
342,Irbil,IQ,36.1926,44.0106,46.22,100,100,3.44,fog
343,Erdenet,MN,49.0333,104.0833,19.02,63,100,15.28,overcast clouds
344,Kathu,TH,7.9178,98.3332,85.82,99,100,6.2,overcast clouds
345,Shamsabad,IN,27.0167,78.1333,66.22,42,0,4.07,clear sky
346,Znamenskoye,RU,57.1281,73.8282,-8.54,100,16,2.66,few clouds
