City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
612,Broken Hill,AU,75.76,broken clouds,-31.95,141.4333,Royal Exchange Hotel
615,Fayaoue,NC,80.24,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
617,Kimbe,PG,85.53,light rain,-5.5502,150.1429,Kimbe Bay Hotel
620,Senador Jose Porfirio,BR,78.67,broken clouds,-2.5908,-51.9542,Hotel Praia
632,Soyo,AO,75.74,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
634,Auki,SB,81.36,overcast clouds,-8.7676,160.7034,Auki Motel
636,La Asuncion,VE,78.53,light rain,11.0333,-63.8628,Colinas de Matasiete
639,Sur,OM,77.13,clear sky,22.5667,59.5289,Sur Plaza Hotel
648,Rantepao,ID,81.07,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
649,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
650,Antalaha,MG,76.06,light rain,-14.9003,50.2788,Hotel Vitasoa
657,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
662,Meulaboh,ID,81.57,overcast clouds,4.1363,96.1285,Kost Pria
663,Santa Rosa,PH,87.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
665,Oussouye,SN,77.09,broken clouds,12.485,-16.5469,Auberge du Routard
668,Puerto Carreno,CO,75.67,light rain,6.189,-67.4859,Casa Hotel Victoria
677,Sao Miguel Do Araguaia,BR,76.8,few clouds,-13.275,-50.1628,Hotel Executivo Palace
681,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
